sara_shackleton_003_1_1.pst.69.xls,13,28,30,27,18,Sheet1:D14,7,Sheet1:H13,6,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,8,2,4,2,4,0,0,0,0,6,6
paul_y'barbo_000_1_1.pst.173.xls,4014,7336,4014,1636,818,JANUARY:AH10,30,JANUARY:AH10,30,24,716,669,2846,0,0,0,0,0,0,24,117,42,111,41,171,0,0,3,6,11,43,0,0,4,4
scott_neal_000_1_1.pst.19.xls,359,581,969,190,183,Sheet1:L48,72,Sheet1:F18,10,0,0,113,716,0,0,0,0,22,66,17,76,0,0,0,0,0,0,0,0,0,0,0,0,31,31
benjamin_rogers_000_1_1.pst.46.xls,1396,2749,2054,228,150,NYPP Zone A:L58,8,NYPP Zone A:G58,3,0,0,140,2037,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,5,5
joe_parks_000_1_1.pst.524.xls,29,40,49,25,22,Bridgeline DPR2:M12,17,Bridgeline DPR2:O12,4,0,0,3,13,0,0,0,0,1,3,15,30,0,0,0,0,0,0,0,0,0,0,0,0,3,3
don_baughman_000_1_1.pst.144.xls,5837,9546,18275,619,919,Sheet1:C20,37,Sheet1:C38,19,0,0,912,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
darrell_schoolcraft_000_1_1_1.pst.156.xls,26,76,50,7,4,Sheet1:G15,3,Sheet1:G18,2,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
sally_beck_001_1_1_1_1.pst.117.xls,79,131,144,91,57,Hotlist - Identified :G45,4,Hotlist - Identified :F39,3,0,0,0,0,0,0,0,0,0,0,0,0,28,92,0,0,0,0,3,6,18,38,0,0,8,8
cara_semperger_000_1_1.pst.20.xls,144,288,144,24,12,JD-MAL TRANS:D16,3,JD-MAL TRANS:B12,2,0,0,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
daren_farmer_001_1_1.pst.1130.xls,85,133,85,33,21,DELV SUMMARY:A8,29,DELV SUMMARY:A8,29,1,29,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
benjamin_rogers_001_1_1.pst.13.xls,1470,3315,2080,566,336,Lincoln Energy Center 00 Exp:M21,31,Lincoln Energy Center 00 Exp:E120,6,0,0,181,1796,0,0,0,0,0,0,15,45,30,60,42,84,0,0,0,0,27,54,0,0,41,41
daren_farmer_002_1_1.pst.37.xls,419,767,1005,23,20,Offshore- S. Tx- Arklatex- G.C.:C51,10,Offshore- S. Tx- Arklatex- G.C.:C18,6,0,0,18,1000,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
paul_y'barbo_000_1_1.pst.3.xls,38,54,90,43,35,Sheet1:D14,16,Sheet1:E9,3,0,0,5,20,0,0,0,0,9,18,17,48,0,0,0,0,0,0,0,0,0,0,0,0,4,4
chris_germany_000_1_1_1.pst.92.xls,14,28,27,20,19,Sheet1:E22,6,Sheet2:F9,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,15,15
kim_ward_000_1_2.pst.536.xls,24,48,24,4,2,Sheet1:B9,1,Sheet1:G11,1,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
